
price,date,exchange,type
2074.68,2022-05-23 07:40:04.795628+00:00,Uniswap,scraper
2058.84,2022-05-23 07:40:10.394613+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:40:20.419740+00:00,Pancakeswap,scraper
2074.68,2022-05-23 07:40:24.820014+00:00,Uniswap,scraper
2058.84,2022-05-23 07:40:30.447004+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:40:40.466958+00:00,Pancakeswap,scraper
2074.68,2022-05-23 07:40:44.852701+00:00,Uniswap,scraper
2058.84,2022-05-23 07:40:50.489813+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:41:00.512861+00:00,Pancakeswap,scraper
2074.68,2022-05-23 07:41:04.870034+00:00,Uniswap,scraper
2058.84,2022-05-23 07:41:10.537490+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:41:20.556647+00:00,Pancakeswap,scraper
2074.83,2022-05-23 07:41:24.892401+00:00,Uniswap,scraper
2058.84,2022-05-23 07:41:30.574432+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:41:40.598271+00:00,Pancakeswap,scraper
2074.83,2022-05-23 07:41:44.918072+00:00,Uniswap,scraper
2058.84,2022-05-23 07:41:50.618359+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:42:00.655140+00:00,Pancakeswap,scraper
2074.83,2022-05-23 07:42:04.937926+00:00,Uniswap,scraper
2058.84,2022-05-23 07:42:10.679285+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:42:20.701915+00:00,Pancakeswap,scraper
2074.83,2022-05-23 07:42:24.964911+00:00,Uniswap,scraper
2058.84,2022-05-23 07:42:30.723774+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:42:40.739427+00:00,Pancakeswap,scraper
2072.93,2022-05-23 07:42:44.991043+00:00,Uniswap,scraper
2058.84,2022-05-23 07:42:50.760722+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:43:00.784784+00:00,Pancakeswap,scraper
2072.93,2022-05-23 07:43:05.015280+00:00,Uniswap,scraper
2058.84,2022-05-23 07:43:10.811144+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:43:20.825121+00:00,Pancakeswap,scraper
2072.16,2022-05-23 07:43:25.049433+00:00,Uniswap,scraper
2058.84,2022-05-23 07:43:30.846573+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:43:40.864087+00:00,Pancakeswap,scraper
2072.16,2022-05-23 07:43:45.068468+00:00,Uniswap,scraper
2058.84,2022-05-23 07:43:50.879528+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:44:00.901940+00:00,Pancakeswap,scraper
2070.6,2022-05-23 07:44:05.094207+00:00,Uniswap,scraper
2058.84,2022-05-23 07:44:10.927132+00:00,Pancakeswap,scraper
2058.84,2022-05-23 07:44:20.946808+00:00,Pancakeswap,scraper
2070.6,2022-05-23 07:44:25.119100+00:00,Uniswap,scraper
