snapped_at,volume
2022-02-12 13:50:00 +0000,15412591689.2184674352117928663341021
2022-02-13 13:50:00 +0000,10319760498.3974505025717036069522956
2022-02-14 13:50:00 +0000,11747262330.6662914413448299539368967
2022-02-15 13:50:00 +0000,13617769812.2280458053154474778570089
2022-02-16 13:50:00 +0000,11680727122.6791605879560709732652162
2022-02-17 13:50:00 +0000,12667200779.811976029032114864163511
2022-02-18 13:50:00 +0000,13603289019.2249486600416440308621788
2022-02-19 13:50:00 +0000,11726146937.9278330768322159600178677
2022-02-20 13:50:00 +0000,10457924114.7375651636116935551187807
2022-02-21 13:50:00 +0000,12614606523.8758493272600919038273967
2022-02-22 13:50:00 +0000,18651293696.9874440211276273152464491
2022-02-23 13:50:00 +0000,13736302377.2154856940678538848687218
2022-02-24 13:50:00 +0000,23768085716.3832671671783549967817582
2022-02-25 13:50:00 +0000,21429739369.5038000715732531518310822
2022-02-26 13:50:00 +0000,14655382035.2247570234144746671368078
2022-02-27 13:50:00 +0000,10793671260.0572750912247160604038501
2022-02-28 13:50:00 +0000,14947817649.9032709761113347019446144
2022-03-01 13:50:00 +0000,23670475363.919377832469813826699142
2022-03-02 13:50:00 +0000,19399332904.934910031277634952350008
2022-03-03 13:50:00 +0000,14763834853.7677483632201657550124254
2022-03-04 13:50:00 +0000,16364750965.949336965157305502545855
2022-03-05 13:50:00 +0000,13559830825.5087586122327776293040337
2022-03-06 13:50:00 +0000,9849660466.2753552415670034530051786
2022-03-07 13:50:00 +0000,12003679478.8895871171096682284662835
2022-03-08 13:50:00 +0000,15239439763.9334056037056714893400466
2022-03-09 13:50:00 +0000,18451876195.6189772123686065633939935
2022-03-10 13:50:00 +0000,16901779048.6132945458765699877681276
2022-03-11 13:50:00 +0000,15630763183.1576860050528794295391307
2022-03-12 13:50:00 +0000,13205380417.6761560613706833713171722
2022-03-13 13:50:00 +0000,10120624775.9125269377425661899021429
2022-03-14 13:50:00 +0000,13027855048.3392756380140466809760013
2022-03-15 13:50:00 +0000,12532189128.7625648035604933351245022
2022-03-16 13:50:00 +0000,16753956219.1135896256774839420432063
2022-03-17 13:50:00 +0000,17917276617.6632012286140536378552613
2022-03-18 13:50:00 +0000,15200449514.9861364331608124526927065
2022-03-19 13:50:00 +0000,17600940653.460828292002835963250186
2022-03-20 13:50:00 +0000,15577234114.8964047055935085723646722
2022-03-21 13:50:00 +0000,15738143767.7512751421707717822199146
2022-03-22 13:50:00 +0000,20195510303.6492314929149900395414591
2022-03-23 13:50:00 +0000,15086675133.618862436891470251024534
2022-03-24 13:50:00 +0000,19195296668.4974259420761335293187471
2022-03-25 13:50:00 +0000,18947844932.0624936627863767044997024
2022-03-26 13:50:00 +0000,13632244263.6810229700707696084814199
2022-03-27 13:50:00 +0000,11523675435.7220468224576655687738575
2022-03-28 13:50:00 +0000,22814987855.0642444083986717161408494
2022-03-29 13:50:00 +0000,24014457424.0898186780720132944185946
2022-03-30 13:50:00 +0000,25756705648.6119794403214997105135116
2022-03-31 13:50:00 +0000,25299296911.1075285040981507965132978
2022-04-01 13:50:00 +0000,32691109921.6612126028096036429698407
2022-04-02 13:50:00 +0000,25470622406.5486029480062561111689575
2022-04-03 13:50:00 +0000,21082844944.0502411763014915426452652
2022-04-04 13:50:00 +0000,21367661071.1302417379615354759803356
2022-04-05 13:50:00 +0000,22447404108.2709597206694159287682999
2022-04-06 13:50:00 +0000,25048389173.001076133434733414634831
2022-04-07 13:50:00 +0000,22728866697.4856088677075980838419016
2022-04-08 13:50:00 +0000,16530910834.2945000715095247492337953
2022-04-09 13:50:00 +0000,13888884417.1219721910057003151774934
2022-04-10 13:50:00 +0000,8966175511.0970624176765574839181702
2022-04-11 13:50:00 +0000,17480499695.86239897366958034030070983
